,humidity,pressure,temperature,utc_time,weather,wind_direction,wind_speed
31,26.0,1031.0,-4.7,2017-01-31 23:00:00,Sunny/clear,59.5,2.55
32,24.0,1031.9499999999998,-4.5,2017-02-01 00:00:00,Sunny/clear,57.5,2.6
33,20.0,1032.45,-2.9,2017-02-01 01:00:00,Sunny/clear,48.5,3.3
34,16.5,1032.45,-1.05,2017-02-01 02:00:00,Sunny/clear,48.5,3.6500000000000004
35,14.0,1032.3000000000002,0.3,2017-02-01 03:00:00,Sunny/clear,52.0,3.1500000000000004
36,13.0,1031.5,1.6,2017-02-01 04:00:00,Sunny/clear,51.5,2.4
37,11.5,1030.6999999999998,2.5,2017-02-01 05:00:00,Sunny/clear,141.0,2.2
38,11.0,1029.75,3.4000000000000004,2017-02-01 06:00:00,Sunny/clear,213.5,2.3
39,10.5,1029.35,3.8,2017-02-01 07:00:00,Sunny/clear,201.0,2.2
40,11.0,1029.0,3.95,2017-02-01 08:00:00,Sunny/clear,218.5,2.3499999999999996
41,12.5,1028.9,2.8,2017-02-01 09:00:00,Sunny/clear,220.0,2.1500000000000004
42,16.5,1028.85,0.45,2017-02-01 10:00:00,Sunny/clear,225.5,1.7
43,20.5,1028.8000000000002,-1.1,2017-02-01 11:00:00,Sunny/clear,208.0,1.4
44,24.5,1028.35,-2.7,2017-02-01 12:00:00,Sunny/clear,218.0,1.2
45,28.0,1028.1,-4.5,2017-02-01 13:00:00,Sunny/clear,216.0,1.1
46,33.0,1027.85,-5.449999999999999,2017-02-01 14:00:00,Sunny/clear,221.0,1.05
47,37.5,1027.75,-6.800000000000001,2017-02-01 15:00:00,Sunny/clear,215.5,0.9
48,39.5,1027.65,-7.7,2017-02-01 16:00:00,Sunny/clear,176.5,0.6499999999999999
49,42.0,1027.45,-8.0,2017-02-01 17:00:00,Sunny/clear,192.0,0.95
50,44.0,1027.2,-8.7,2017-02-01 18:00:00,Sunny/clear,234.5,0.9
51,44.0,1026.65,-8.95,2017-02-01 19:00:00,Sunny/clear,235.0,0.9
52,48.0,1026.4,-9.649999999999999,2017-02-01 20:00:00,Sunny/clear,185.0,0.95
53,49.0,1025.95,-9.899999999999999,2017-02-01 21:00:00,Sunny/clear,158.5,0.8500000000000001
54,48.0,1025.5,-9.55,2017-02-01 22:00:00,Sunny/clear,122.0,0.95
55,48.0,1025.35,-9.6,2017-02-01 23:00:00,Sunny/clear,215.0,0.9
56,47.5,1025.6999999999998,-9.649999999999999,2017-02-02 00:00:00,Sunny/clear,194.0,1.05
57,37.0,1025.65,-5.449999999999999,2017-02-02 01:00:00,Sunny/clear,98.0,1.0
58,26.0,1025.45,-2.35,2017-02-02 02:00:00,Sunny/clear,88.0,1.15
59,21.0,1024.85,0.25,2017-02-02 03:00:00,Sunny/clear,86.5,1.25
60,17.0,1023.5,2.3,2017-02-02 04:00:00,Sunny/clear,90.5,1.4
61,14.0,1022.1500000000001,3.8499999999999996,2017-02-02 05:00:00,Sunny/clear,156.5,1.45
62,13.0,1020.95,4.85,2017-02-02 06:00:00,Sunny/clear,210.0,1.65
63,13.5,1020.1500000000001,5.45,2017-02-02 07:00:00,Sunny/clear,217.5,1.7
64,13.0,1019.7,5.300000000000001,2017-02-02 08:00:00,Sunny/clear,192.5,1.5499999999999998
65,16.0,1019.7,4.2,2017-02-02 09:00:00,Sunny/clear,223.0,1.25
66,22.0,1019.75,1.8,2017-02-02 10:00:00,Sunny/clear,215.0,1.15
67,25.5,1020.05,0.0,2017-02-02 11:00:00,Sunny/clear,212.5,0.95
68,27.0,1019.75,-1.2999999999999998,2017-02-02 12:00:00,Haze,198.0,0.5
69,32.0,1019.55,-2.55,2017-02-02 13:00:00,Haze,205.0,0.6
70,36.0,1019.3499999999999,-3.5,2017-02-02 14:00:00,Haze,188.0,0.6499999999999999
71,39.0,1019.0,-4.35,2017-02-02 15:00:00,Haze,154.0,0.6
72,42.0,1018.7,-4.85,2017-02-02 16:00:00,Haze,147.5,0.75
73,42.5,1018.4,-5.35,2017-02-02 17:00:00,Haze,112.0,0.8
74,44.0,1018.5,-5.7,2017-02-02 18:00:00,Haze,261.5,0.8
75,48.0,1018.3499999999999,-6.05,2017-02-02 19:00:00,Sunny/clear,138.0,0.7
76,47.5,1018.1,-6.5,2017-02-02 20:00:00,Sunny/clear,302.5,0.8
77,47.5,1017.8,-6.45,2017-02-02 21:00:00,Sunny/clear,199.5,1.05
78,47.0,1017.8,-6.75,2017-02-02 22:00:00,Sunny/clear,190.0,1.0
79,49.0,1018.2,-6.449999999999999,2017-02-02 23:00:00,Sunny/clear,101.0,0.9
80,50.0,1018.4,-6.85,2017-02-03 00:00:00,Sunny/clear,112.0,0.8500000000000001
81,42.5,1018.3499999999999,-4.15,2017-02-03 01:00:00,Haze,177.0,0.9
82,31.5,1017.95,-0.44999999999999996,2017-02-03 02:00:00,Sunny/clear,143.0,1.1
83,26.0,1017.3499999999999,1.65,2017-02-03 03:00:00,Sunny/clear,69.5,1.2
84,21.0,1016.2,3.75,2017-02-03 04:00:00,Sunny/clear,104.0,1.2000000000000002
85,19.0,1015.05,5.1,2017-02-03 05:00:00,Haze,160.0,1.4
86,18.0,1013.8499999999999,5.55,2017-02-03 06:00:00,Haze,136.5,1.4
87,19.0,1013.45,6.0,2017-02-03 07:00:00,Haze,197.5,1.6
88,21.5,1012.9,5.85,2017-02-03 08:00:00,Haze,187.0,1.7000000000000002
89,24.5,1013.5,4.75,2017-02-03 09:00:00,Haze,197.5,1.55
90,31.0,1013.55,2.25,2017-02-03 10:00:00,Haze,163.5,0.8
91,38.0,1013.8499999999999,0.25,2017-02-03 11:00:00,Haze,184.5,0.8500000000000001
92,43.0,1013.8,-0.85,2017-02-03 12:00:00,Haze,188.0,0.95
93,46.0,1013.8,-1.65,2017-02-03 13:00:00,Haze,99.0,0.55
94,48.0,1013.7,-1.5,2017-02-03 14:00:00,Haze,129.5,1.0
95,48.5,1013.3,-1.15,2017-02-03 15:00:00,Haze,106.0,1.0
96,45.0,1013.7,-0.55,2017-02-03 16:00:00,Haze,123.0,1.0
97,45.0,1013.25,-0.6499999999999999,2017-02-03 17:00:00,Haze,110.5,0.7
98,44.0,1012.9,-0.55,2017-02-03 18:00:00,Haze,205.0,0.8500000000000001
99,45.0,1012.6,-0.35,2017-02-03 19:00:00,Haze,233.5,0.6499999999999999
100,46.5,1012.1500000000001,-0.6000000000000001,2017-02-03 20:00:00,Haze,88.5,0.6499999999999999
101,47.5,1011.8,-0.7,2017-02-03 21:00:00,Haze,194.0,0.7
102,48.5,1011.8,-0.9500000000000001,2017-02-03 22:00:00,Haze,213.5,0.8500000000000001
103,53.5,1012.0,-2.15,2017-02-03 23:00:00,Haze,210.0,0.7
104,59.5,1012.4,-2.8499999999999996,2017-02-04 00:00:00,Haze,230.0,0.8
105,57.5,1012.6,-1.5,2017-02-04 01:00:00,Haze,139.0,0.8
106,42.0,1012.4,1.4,2017-02-04 02:00:00,Haze,139.5,0.95
107,36.5,1011.8,3.6500000000000004,2017-02-04 03:00:00,Haze,109.5,1.05
108,34.0,1011.05,5.4,2017-02-04 04:00:00,Haze,187.5,1.1
109,31.0,1009.9,6.85,2017-02-04 05:00:00,Haze,197.5,1.6
110,29.0,1008.9,7.95,2017-02-04 06:00:00,Haze,196.5,1.6
111,29.0,1008.4,8.25,2017-02-04 07:00:00,Haze,220.5,1.7
112,29.0,1008.3,8.0,2017-02-04 08:00:00,Haze,225.5,2.1500000000000004
113,33.0,1009.05,6.800000000000001,2017-02-04 09:00:00,Haze,247.5,1.65
114,38.5,1009.95,4.0,2017-02-04 10:00:00,Haze,254.5,1.1
115,45.0,1010.55,3.1,2017-02-04 11:00:00,Haze,263.0,1.75
116,38.5,1011.1,3.1,2017-02-04 12:00:00,Haze,289.5,1.8
117,39.0,1011.8499999999999,2.8,2017-02-04 13:00:00,Sunny/clear,218.0,1.55
118,34.0,1012.3499999999999,2.8499999999999996,2017-02-04 14:00:00,Sunny/clear,210.0,1.4
119,38.0,1012.6,2.25,2017-02-04 15:00:00,Sunny/clear,136.5,1.35
120,43.0,1012.7,-0.1,2017-02-04 16:00:00,Sunny/clear,146.5,1.05
121,49.0,1012.8499999999999,-1.35,2017-02-04 17:00:00,Sunny/clear,215.5,1.2999999999999998
122,53.0,1013.2,-2.45,2017-02-04 18:00:00,Sunny/clear,248.0,1.3
123,54.5,1013.6,-2.05,2017-02-04 19:00:00,Sunny/clear,298.0,1.4
124,44.5,1013.8499999999999,-0.4,2017-02-04 20:00:00,Sunny/clear,222.5,1.65
125,47.5,1013.8,-1.45,2017-02-04 21:00:00,Sunny/clear,109.5,1.65
126,39.0,1013.95,-0.1,2017-02-04 22:00:00,Sunny/clear,136.5,1.5
127,42.5,1014.7,-1.85,2017-02-04 23:00:00,Sunny/clear,141.0,1.7
128,43.0,1015.5,-1.7,2017-02-05 00:00:00,Sunny/clear,187.5,1.5
129,28.0,1016.05,3.0,2017-02-05 01:00:00,Sunny/clear,295.5,1.7
130,20.0,1015.95,4.65,2017-02-05 02:00:00,Sunny/clear,266.0,3.05
131,17.0,1015.9,6.1,2017-02-05 03:00:00,Sunny/clear,297.5,3.4
132,15.5,1015.1,7.2,2017-02-05 04:00:00,Sunny/clear,288.5,3.4
133,14.0,1014.05,8.149999999999999,2017-02-05 05:00:00,Sunny/clear,267.5,3.4
134,13.0,1013.3499999999999,8.350000000000001,2017-02-05 06:00:00,Sunny/clear,174.5,3.4000000000000004
135,13.0,1013.2,8.9,2017-02-05 07:00:00,Sunny/clear,219.0,3.5
136,13.0,1013.25,8.6,2017-02-05 08:00:00,Sunny/clear,248.5,2.7
137,14.0,1014.1500000000001,7.65,2017-02-05 09:00:00,Sunny/clear,32.5,2.45
138,16.0,1015.25,6.55,2017-02-05 10:00:00,Sunny/clear,39.0,1.9
139,17.0,1016.45,5.550000000000001,2017-02-05 11:00:00,Sunny/clear,30.0,2.8499999999999996
140,20.0,1017.6,4.550000000000001,2017-02-05 12:00:00,Sunny/clear,27.5,2.75
141,23.0,1018.1,3.3499999999999996,2017-02-05 13:00:00,Sunny/clear,45.5,2.2
142,24.0,1018.95,2.8499999999999996,2017-02-05 14:00:00,Sunny/clear,41.5,1.9
143,26.0,1019.3499999999999,1.85,2017-02-05 15:00:00,Sunny/clear,52.5,2.1
144,26.5,1019.9000000000001,1.9500000000000002,2017-02-05 16:00:00,Sunny/clear,48.0,2.5
145,27.0,1020.55,1.5,2017-02-05 17:00:00,Sunny/clear,38.0,3.0999999999999996
146,29.0,1021.35,0.6,2017-02-05 18:00:00,Sunny/clear,61.0,3.0
147,30.0,1022.5999999999999,-0.1,2017-02-05 19:00:00,Sunny/clear,47.0,2.2
148,31.0,1022.5,-0.8,2017-02-05 20:00:00,Sunny/clear,59.5,2.55
149,32.0,1023.4,-1.2000000000000002,2017-02-05 21:00:00,Sunny/clear,46.5,2.95
150,33.0,1023.6999999999999,-1.85,2017-02-05 22:00:00,Sunny/clear,54.0,2.25
151,32.5,1024.35,-2.3,2017-02-05 23:00:00,Sunny/clear,56.0,2.45
152,32.0,1025.65,-2.0,2017-02-06 00:00:00,Sunny/clear,60.0,2.05
153,27.0,1026.6,-0.15000000000000002,2017-02-06 01:00:00,Sunny/clear,53.5,2.6
154,22.0,1027.0,1.45,2017-02-06 02:00:00,Sunny/clear,75.0,3.05
155,19.0,1027.2,2.6,2017-02-06 03:00:00,Sunny/clear,84.5,1.9
156,17.5,1026.4,3.6,2017-02-06 04:00:00,Sunny/clear,105.0,1.8
157,16.0,1025.15,4.300000000000001,2017-02-06 05:00:00,Sunny/clear,126.0,1.7
158,15.0,1024.25,4.25,2017-02-06 06:00:00,Sunny/clear,152.5,1.9
159,16.0,1024.0,4.05,2017-02-06 07:00:00,Sunny/clear,184.0,2.2
160,17.0,1024.3000000000002,3.55,2017-02-06 08:00:00,Sunny/clear,205.0,2.4
161,19.5,1024.5,2.95,2017-02-06 09:00:00,Sunny/clear,222.0,2.1
162,22.0,1024.75,1.6,2017-02-06 10:00:00,Sunny/clear,200.0,1.55
163,25.0,1024.9499999999998,0.15,2017-02-06 11:00:00,Sunny/clear,198.0,1.55
164,27.0,1025.25,0.05,2017-02-06 12:00:00,Sunny/clear,210.0,1.55
165,30.5,1025.35,-0.8500000000000001,2017-02-06 13:00:00,Sunny/clear,204.5,1.0
166,34.5,1025.8000000000002,-1.7,2017-02-06 14:00:00,Sunny/clear,204.5,1.1
167,35.5,1025.75,-2.1500000000000004,2017-02-06 15:00:00,Sunny/clear,188.5,0.9
168,39.5,1025.45,-2.6500000000000004,2017-02-06 16:00:00,Sunny/clear,178.0,1.05
169,40.0,1025.4,-2.5,2017-02-06 17:00:00,Sunny/clear,181.5,1.15
170,44.5,1025.0,-2.4,2017-02-06 18:00:00,Sunny/clear,151.5,1.1
171,45.5,1025.1,-2.2,2017-02-06 19:00:00,Sunny/clear,189.0,0.8
172,47.0,1024.45,-2.1,2017-02-06 20:00:00,Sunny/clear,116.0,0.9
173,46.5,1024.45,-1.7999999999999998,2017-02-06 21:00:00,Sunny/clear,179.5,1.0
174,50.0,1023.95,-2.0,2017-02-06 22:00:00,Sunny/clear,116.5,1.1
175,48.0,1024.35,-2.1500000000000004,2017-02-06 23:00:00,Sunny/clear,134.5,1.0
176,50.5,1024.85,-1.9500000000000002,2017-02-07 00:00:00,Sunny/clear,166.0,0.95
177,47.5,1025.25,-1.2,2017-02-07 01:00:00,Sunny/clear,129.5,1.15
178,48.5,1025.25,-0.15,2017-02-07 02:00:00,Sunny/clear,95.0,1.35
179,47.0,1024.85,0.6,2017-02-07 03:00:00,Sunny/clear,143.0,1.4
180,47.5,1024.35,0.95,2017-02-07 04:00:00,Sunny/clear,209.0,2.1
181,46.0,1023.25,1.35,2017-02-07 05:00:00,Sunny/clear,199.5,2.05
182,48.5,1022.6500000000001,1.65,2017-02-07 06:00:00,Sunny/clear,205.0,2.1
183,49.0,1022.4,1.6,2017-02-07 07:00:00,Sunny/clear,174.5,1.55
184,49.5,1022.05,1.35,2017-02-07 08:00:00,Sunny/clear,188.0,1.8
185,53.5,1022.2,0.9,2017-02-07 09:00:00,Sunny/clear,162.5,1.55
186,57.5,1022.4,0.15000000000000002,2017-02-07 10:00:00,Sunny/clear,143.0,1.4
187,60.0,1022.9,-1.1,2017-02-07 11:00:00,Haze,76.0,0.95
188,62.5,1022.75,-1.8,2017-02-07 12:00:00,Haze,36.0,1.25
189,66.5,1022.8,-2.3,2017-02-07 13:00:00,Haze,93.5,0.9
190,70.5,1023.05,-2.8499999999999996,2017-02-07 14:00:00,Haze,259.0,0.75
191,73.5,1023.0,-3.55,2017-02-07 15:00:00,Haze,314.5,0.55
192,73.0,1023.2,-3.55,2017-02-07 16:00:00,Haze,233.5,0.7
193,75.0,1023.1,-3.6500000000000004,2017-02-07 17:00:00,Haze,218.5,0.6499999999999999
194,75.0,1023.25,-3.55,2017-02-07 18:00:00,Haze,147.5,1.15
195,75.0,1022.8,-3.6500000000000004,2017-02-07 19:00:00,Haze,89.5,1.05
196,73.0,1022.3,-3.7,2017-02-07 20:00:00,Haze,85.5,1.4500000000000002
197,55.5,1022.5,-1.75,2017-02-07 21:00:00,Sunny/clear,180.0,2.3499999999999996
198,38.5,1022.9,-1.15,2017-02-07 22:00:00,Sunny/clear,52.0,3.3
199,35.5,1023.75,-1.7999999999999998,2017-02-07 23:00:00,Sunny/clear,64.0,3.3
200,32.5,1024.6,-1.4500000000000002,2017-02-08 00:00:00,Sunny/clear,63.0,3.1500000000000004
201,29.0,1024.7,-0.45,2017-02-08 01:00:00,Sunny/clear,160.0,3.95
202,26.0,1024.65,0.65,2017-02-08 02:00:00,Sunny/clear,258.5,4.2
203,23.5,1024.5500000000002,1.5,2017-02-08 03:00:00,Sunny/clear,315.0,3.95
204,21.0,1024.0,2.3,2017-02-08 04:00:00,Sunny/clear,328.5,4.15
205,18.0,1023.25,2.9,2017-02-08 05:00:00,Sunny/clear,324.0,4.55
206,16.0,1022.7,3.2,2017-02-08 06:00:00,Sunny/clear,328.0,4.8
207,15.5,1022.6,3.3,2017-02-08 07:00:00,Sunny/clear,323.5,5.35
208,15.0,1022.6,2.6,2017-02-08 08:00:00,Sunny/clear,332.0,4.65
209,17.0,1022.95,1.45,2017-02-08 09:00:00,Sunny/clear,324.5,4.9
210,19.0,1023.5999999999999,0.05,2017-02-08 10:00:00,Sunny/clear,312.0,4.35
211,20.0,1024.4,-0.8,2017-02-08 11:00:00,Sunny/clear,311.0,3.9000000000000004
212,22.0,1025.05,-1.75,2017-02-08 12:00:00,Sunny/clear,323.0,4.05
213,23.0,1025.5,-2.5,2017-02-08 13:00:00,Sunny/clear,319.5,3.0
214,23.5,1025.45,-2.9,2017-02-08 14:00:00,Sunny/clear,318.5,3.4
215,25.0,1025.35,-3.1500000000000004,2017-02-08 15:00:00,Sunny/clear,314.5,3.0999999999999996
216,26.0,1024.85,-3.4,2017-02-08 16:00:00,Sunny/clear,308.5,2.95
217,26.0,1024.3,-3.7,2017-02-08 17:00:00,Sunny/clear,312.0,2.6
218,26.5,1023.75,-3.9499999999999997,2017-02-08 18:00:00,Sunny/clear,306.0,2.95
219,26.0,1023.25,-4.1,2017-02-08 19:00:00,Sunny/clear,303.0,3.25
220,26.0,1022.8,-4.25,2017-02-08 20:00:00,Sunny/clear,308.0,3.1500000000000004
221,26.0,1022.4,-4.6,2017-02-08 21:00:00,Sunny/clear,280.0,3.05
222,26.0,1022.25,-4.65,2017-02-08 22:00:00,Sunny/clear,313.0,2.95
223,26.0,1022.45,-4.6,2017-02-08 23:00:00,Sunny/clear,301.0,3.4
224,26.5,1022.6500000000001,-4.3,2017-02-09 00:00:00,Sunny/clear,294.0,3.0
225,22.0,1022.6500000000001,-2.7,2017-02-09 01:00:00,Sunny/clear,303.0,3.6
226,20.0,1022.6,-1.55,2017-02-09 02:00:00,Sunny/clear,308.5,3.95
227,17.0,1022.1500000000001,-0.45,2017-02-09 03:00:00,Sunny/clear,303.0,4.699999999999999
228,16.0,1021.25,0.6,2017-02-09 04:00:00,Sunny/clear,319.0,5.15
229,14.5,1020.3499999999999,1.25,2017-02-09 05:00:00,Sunny/clear,323.5,4.75
230,14.0,1019.6500000000001,1.85,2017-02-09 06:00:00,Sunny/clear,312.5,4.8
231,13.0,1019.25,2.05,2017-02-09 07:00:00,Sunny/clear,320.0,5.15
232,14.0,1019.2,1.7,2017-02-09 08:00:00,Sunny/clear,324.5,5.25
233,15.5,1019.3,0.9,2017-02-09 09:00:00,Sunny/clear,330.0,4.699999999999999
234,17.0,1020.05,-0.15,2017-02-09 10:00:00,Sunny/clear,322.0,4.25
235,18.0,1020.5,-0.8500000000000001,2017-02-09 11:00:00,Sunny/clear,330.5,3.7
236,19.5,1020.6,-1.35,2017-02-09 12:00:00,Sunny/clear,325.0,3.75
237,21.5,1020.7,-1.45,2017-02-09 13:00:00,Sunny/clear,313.5,3.55
238,23.0,1021.25,-1.75,2017-02-09 14:00:00,Sunny/clear,295.5,3.6500000000000004
239,23.5,1021.05,-1.9,2017-02-09 15:00:00,Sunny/clear,297.5,4.15
240,24.0,1020.9,-1.8,2017-02-09 16:00:00,Sunny/clear,302.5,3.2
241,23.0,1020.6500000000001,-2.25,2017-02-09 17:00:00,Sunny/clear,297.5,3.9
242,22.0,1021.25,-2.55,2017-02-09 18:00:00,Sunny/clear,300.5,3.5999999999999996
243,20.5,1021.5,-2.3499999999999996,2017-02-09 19:00:00,Sunny/clear,304.0,3.8499999999999996
244,21.5,1021.5,-2.8,2017-02-09 20:00:00,Sunny/clear,320.0,3.3499999999999996
245,21.0,1021.8499999999999,-3.55,2017-02-09 21:00:00,Sunny/clear,304.0,3.25
246,22.0,1022.2,-4.4,2017-02-09 22:00:00,Sunny/clear,264.0,3.45
247,22.0,1022.7,-3.75,2017-02-09 23:00:00,Sunny/clear,307.5,3.0
248,21.5,1023.6,-3.75,2017-02-10 00:00:00,Sunny/clear,218.0,2.6
249,19.0,1024.0,-2.2,2017-02-10 01:00:00,Sunny/clear,177.5,3.1
250,17.0,1023.85,-1.05,2017-02-10 02:00:00,Sunny/clear,294.0,4.4
251,15.0,1023.7,0.35,2017-02-10 03:00:00,Sunny/clear,291.5,4.75
252,14.0,1023.05,1.4,2017-02-10 04:00:00,Sunny/clear,309.5,4.9
253,13.5,1022.1500000000001,2.75,2017-02-10 05:00:00,Sunny/clear,302.5,4.35
254,12.0,1021.15,3.9,2017-02-10 06:00:00,Sunny/clear,310.0,4.35
255,11.0,1020.55,4.65,2017-02-10 07:00:00,Sunny/clear,318.5,4.55
256,10.5,1020.25,4.8,2017-02-10 08:00:00,Sunny/clear,321.0,4.85
257,11.0,1020.5,4.1,2017-02-10 09:00:00,Sunny/clear,322.0,3.95
258,12.0,1020.8499999999999,3.0,2017-02-10 10:00:00,Sunny/clear,313.5,3.05
259,13.5,1021.25,2.4,2017-02-10 11:00:00,Sunny/clear,316.5,2.3
260,15.0,1021.6500000000001,0.75,2017-02-10 12:00:00,Sunny/clear,95.5,1.6
261,18.0,1022.05,-0.3,2017-02-10 13:00:00,Sunny/clear,209.5,1.6
262,20.0,1022.1500000000001,-1.4,2017-02-10 14:00:00,Sunny/clear,124.0,1.65
263,23.0,1022.2,-2.5,2017-02-10 15:00:00,Sunny/clear,223.5,1.35
264,24.5,1022.3499999999999,-2.95,2017-02-10 16:00:00,Sunny/clear,136.0,1.25
265,26.5,1022.45,-3.5,2017-02-10 17:00:00,Sunny/clear,252.5,1.0
266,30.5,1022.8,-4.15,2017-02-10 18:00:00,Sunny/clear,229.5,1.45
267,34.5,1022.45,-5.35,2017-02-10 19:00:00,Sunny/clear,256.5,1.0
268,37.5,1022.3,-6.05,2017-02-10 20:00:00,Sunny/clear,293.0,0.95
269,41.0,1022.1500000000001,-6.85,2017-02-10 21:00:00,Sunny/clear,287.0,0.8
270,44.0,1021.95,-7.0,2017-02-10 22:00:00,Sunny/clear,164.0,1.0
271,46.5,1022.05,-7.6,2017-02-10 23:00:00,Sunny/clear,150.5,0.9
272,44.0,1022.6,-6.35,2017-02-11 00:00:00,Sunny/clear,94.0,1.2000000000000002
273,28.0,1022.75,-0.8,2017-02-11 01:00:00,Sunny/clear,72.5,1.15
274,21.0,1022.7,2.85,2017-02-11 02:00:00,Sunny/clear,36.0,2.0
275,18.0,1022.1500000000001,4.75,2017-02-11 03:00:00,Sunny/clear,102.5,2.55
276,16.0,1021.05,6.25,2017-02-11 04:00:00,Sunny/clear,105.5,2.55
277,15.0,1019.9,7.0,2017-02-11 05:00:00,Sunny/clear,201.0,2.6
278,14.0,1019.05,8.0,2017-02-11 06:00:00,Sunny/clear,208.5,2.7
279,13.0,1018.85,8.25,2017-02-11 07:00:00,Sunny/clear,207.5,2.7
280,13.0,1018.65,8.2,2017-02-11 08:00:00,Sunny/clear,196.5,2.5
281,14.0,1018.3,7.65,2017-02-11 09:00:00,Sunny/clear,199.0,1.8
282,17.0,1018.9,5.1,2017-02-11 10:00:00,Sunny/clear,197.5,1.75
283,21.5,1019.3,2.95,2017-02-11 11:00:00,Sunny/clear,187.5,1.4
284,26.5,1019.45,1.2000000000000002,2017-02-11 12:00:00,Sunny/clear,151.5,1.1
285,29.0,1020.1,-0.8500000000000001,2017-02-11 13:00:00,Sunny/clear,217.0,0.9
286,33.5,1020.4,-2.05,2017-02-11 14:00:00,Haze,100.0,0.9
287,38.0,1020.3,-2.8,2017-02-11 15:00:00,Haze,94.0,1.05
288,40.0,1020.5,-3.3,2017-02-11 16:00:00,Haze,99.0,1.1
289,42.0,1020.2,-3.7,2017-02-11 17:00:00,Sunny/clear,132.5,0.95
290,45.5,1020.3,-4.5,2017-02-11 18:00:00,Sunny/clear,94.5,0.75
291,46.5,1019.9,-4.699999999999999,2017-02-11 19:00:00,Sunny/clear,86.0,1.0
292,46.0,1019.8,-4.7,2017-02-11 20:00:00,Sunny/clear,143.0,1.2000000000000002
293,45.5,1019.9,-4.95,2017-02-11 21:00:00,Sunny/clear,49.5,0.9
294,45.0,1020.05,-5.0,2017-02-11 22:00:00,Sunny/clear,65.0,1.15
295,48.0,1020.4,-5.15,2017-02-11 23:00:00,Sunny/clear,96.0,1.05
296,45.0,1020.9,-4.5,2017-02-12 00:00:00,Sunny/clear,66.5,1.3
297,37.0,1020.9,-1.05,2017-02-12 01:00:00,Sunny/clear,49.0,1.5
298,29.5,1020.75,1.65,2017-02-12 02:00:00,Sunny/clear,78.0,1.85
299,24.5,1020.55,3.95,2017-02-12 03:00:00,Sunny/clear,84.5,1.9
300,20.5,1019.8,6.15,2017-02-12 04:00:00,Sunny/clear,100.0,1.5
301,18.0,1018.65,7.85,2017-02-12 05:00:00,Sunny/clear,153.0,1.55
302,17.5,1017.75,9.25,2017-02-12 06:00:00,Sunny/clear,197.5,2.0
